"ID","Name","Active","Type","IsCommercial","SiteSourceMultiplierOverride","ChargesRCC","FuelSurcharge","PurchasedEnergyAdj","PCE","CO2","CustomerChg","DemandCharge","Block1","Block2","Block3","Block4","Block5","Rate1","Rate2","Rate3","Rate4","Rate5","BuybackRate","Notes"
1,"Chugach Electric- Residential",1,1,0,,1,0.06,6.23e-03,0.00,1.10,8.00,,,,,,,0.11,,,,,0.04,"Commercial small Service; Rates updated as of 7/2017 from Chugach website: rates in effect for Anchorage, Hope, Moose Pass Whittier, Girdwood;  Purchased power ncludes both purchased power and Fire island Wind Renewable Energy Adjustment"
2,"Anchorage ML&P - Residential",1,1,0,,1,,0.02,,1.10,6.56,,,,,,,0.14,,,,,0.06," Rates from ML&P website updated Jan 2018; there is a MOA underground surcharge of 2% added to all published  charges; CO2 from Rail Belt average"
3,"Golden Valley Electric - Residential",1,1,0,,1,0.09,,,2.28,17.50,,,,,,,0.11,,,,,0.07,"Rates from 11/2017; Fuel and Purchased Power Charges are combined under Fuel Surcharge            CO2 is based on addition of hydro from Bradley Lake (without hydro = 2.8)"
5,"Enstar Natural Gas - G1 (Res)",1,2,0,,1,0.82,,0.00,,17.00,,,,,,,0.15,,,,,,"Rates are  from Enstar Website effective updated Jan 2018; CO2 is lbs/therm (12.1) estimated from ACE3 figures;  Fuel Surcharge is actually Gas Cost Adjustment which is the figure ENSTAR changes each January; RCC of .223% .  This  rate is for customers throughout the service area - Anchorage, Big Lake, Chugiak-EagleRiver Eklutna, Girdwood, Houston, Indian, Kenai, Knik, Nikiski, Palmer, Peters Creek Portage, Sterling, Soldotna, Wasilla,Whittier"
6,"Akhiok, City of Residential",1,1,0,,0,,,0.38,2.20,,,,,,,,0.80,,,,,,"updated Jan 2018 for residential rate without PCE from AEA"
7,"Akiachak Residential",1,1,0,,0,,,0.26,1.90,,,,,,,,0.60,,,,,,"updated Jan 2018 for residential rate without PCE from AEA"
8,"Akiak, City of - Residential",1,1,0,,0,,,0.21,1.80,,,,,,,,0.53,,,,,,"updated Jan 2018 for residential rate without PCE from AEA"
9,"Akutan, City of - Residential",1,1,0,,0,,,0.77,2.50,,,,,,,,0.95,,,,,,"updated Jan 2018 for residential rate without PCE from AEA"
11,"AEL&P - Residential",1,1,0,,1,,-0.01,0.00,0.01,9.22,,,,,,,0.11,,,,,0.03,"from AEL&P website rate schedule for 1/2018; block rate and demand charge are calculated as .75* Peak rate + .25  Off Peak rate."
15,"Alutiiq Power - Residential",1,1,0,,0,,,0.37,2.40,,,,,,,,0.70,,,,,,"Karluk;updated Jan 2018;  CO2 from PCEStatistics from Alaska Energy Authority"
16,"Andreanof Electric Corp - Residential",1,1,0,,0,,,0.23,2.80,,,,,,,,0.62,,,,,,"Atka; Now City oF Atka is utility; AEA report  updated Jan 2018 for residential; CO2 is estimated because of lack of data"
17,"Aniak Light & Power - Residential",1,1,0,,1,,,0.30,1.70,,,,,,,,0.60,,,,,,"AIDA Report updated Jan 2018 for residential ; CO2 from PCEStatistics from Alaska Energy Authority (DCRA)"
18,"Arctic Village Elec - Residential",1,1,0,,0,,,0.78,2.70,,,,,,,,1.00,,,,,,"From AEA report  updated Jan 2018 for residential; CO2 from PCEStatistics"
