ARIS_cities,census_city,census_area,ancsa_region,railbelt,Hub
Akutan,Akutan city,Aleutians East Borough,Aleut,Affordable Energy Strategy Area,0
Cold Bay,Cold Bay city,Aleutians East Borough,Aleut,Affordable Energy Strategy Area,0
False Pass,False Pass city,Aleutians East Borough,Aleut,Affordable Energy Strategy Area,0
King Cove,King Cove city,Aleutians East Borough,Aleut,Affordable Energy Strategy Area,0
Nelson Lagoon,Nelson Lagoon CDP,Aleutians East Borough,Aleut,Affordable Energy Strategy Area,0
Sand Point,Sand Point city,Aleutians East Borough,Aleut,Affordable Energy Strategy Area,1
Adak,Adak city,Aleutians West Census Area,Aleut,Affordable Energy Strategy Area,0
Atka,Atka city,Aleutians West Census Area,Aleut,Affordable Energy Strategy Area,0
Attu,Attu Station CDP,Aleutians West Census Area,Aleut,Affordable Energy Strategy Area,0
Dutch Harbor,Unalaska city,Aleutians West Census Area,Aleut,Affordable Energy Strategy Area,1
Nikolski,Nikolski CDP,Aleutians West Census Area,Aleut,Affordable Energy Strategy Area,0
Saint George,St. George city,Aleutians West Census Area,Aleut,Affordable Energy Strategy Area,0
Saint Paul,St. Paul city,Aleutians West Census Area,Aleut,Affordable Energy Strategy Area,0
Unalaska,Unalaska city,Aleutians West Census Area,Aleut,Affordable Energy Strategy Area,1
Anchorage,Anchorage municipality,Anchorage municipality,Cook Inlet Regional (CIRI),Railbelt,1
BIRCHWOOD,Anchorage municipality,Anchorage municipality,Cook Inlet Regional (CIRI),Railbelt,0
Bird Creek,Anchorage municipality,Anchorage municipality,Cook Inlet Regional (CIRI),Railbelt,0
Chugiak,Anchorage municipality,Anchorage municipality,Cook Inlet Regional (CIRI),Railbelt,0
Eagle River,Anchorage municipality,Anchorage municipality,Cook Inlet Regional (CIRI),Railbelt,0
Eklutna,Anchorage municipality,Anchorage municipality,Cook Inlet Regional (CIRI),Railbelt,0
Girdwood,Anchorage municipality,Anchorage municipality,Cook Inlet Regional (CIRI),Railbelt,0
Indian,Anchorage municipality,Anchorage municipality,Cook Inlet Regional (CIRI),Railbelt,0
Peters Creek,Anchorage municipality,Anchorage municipality,Cook Inlet Regional (CIRI),Railbelt,0
Akiachak,Akiachak CDP,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Akiak,Akiak city,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Aniak,Aniak city,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Atmautluak,Atmautluak CDP,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Bethel,Bethel city,Bethel Census Area,Calista,Affordable Energy Strategy Area,1
Chefornak,Chefornak city,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Chuathbaluk,Chuathbaluk city,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Crooked Creek,Crooked Creek CDP,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Eek,Eek city,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Goodnews Bay,Goodnews Bay city,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Kasigluk,Kasigluk CDP,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Kipnuk,Kipnuk CDP,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Kongiganak,Kongiganak CDP,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Kwethluk,Kwethluk city,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Kwigillingok,Kwigillingok CDP,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Lime Village,Lime Village CDP,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Lower Kalskag,Lower Kalskag city,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Mekoryok,Mekoryuk city,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Napakiak,Napakiak city,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Napaskiak,Napaskiak city,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Newtok,Newtok CDP,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Nightmute,Nightmute city,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
Nunapitchuk,Nunapitchuk city,Bethel Census Area,Calista,Affordable Energy Strategy Area,0
