Census Area,City,1,2,3,4,5,6,7,8,9,10,11,12
Aleutians East Borough,non hub,500.99156233,439.984315846,456.510655517,421.946346724,426.966352624,380.763389289,392.608543794,400.059089699,410.119914916,434.168674699,445.715396996,472.65755627
Aleutians East Borough,sand point,483.801762115,479.004111601,429.684628975,451.861062464,394.84186314,409.583381254,398.601089762,397.997461213,407.677428491,404.244337486,452.281970046,491.50647821
Aleutians West Census Area,non hub,471.936998147,423.45531781,460.81549341,424.294302801,414.198261989,408.021373057,428.550250417,419.713311688,409.077785102,425.893819855,443.339960239,463.328994468
Aleutians West Census Area,unalaska,663.296679369,611.842083731,589.155191257,593.183520087,513.669263359,475.191489362,481.951202843,483.521810251,487.777909896,557.754716981,553.457432789,571.368330918
Bethel Census Area,bethel,698.644894393,584.884631169,573.799682116,512.091104404,451.084172331,433.770685459,432.120950104,442.711917151,440.380026202,493.366012739,521.677915987,619.730218576
Bethel Census Area,non hub,416.867554436,363.900387399,367.474233607,340.637500374,329.199580587,303.281822536,312.847173092,327.950563334,331.055017424,357.597986677,383.106929227,407.825681832
Bristol Bay Borough,king salmon,505.990755193,400.030049084,429.446841664,400.597527636,401.557941417,399.607610945,470.47455514,397.86874856,384.681902768,394.133403607,428.23224365,429.597806862
Dillingham Census Area,dillingham,601.35091034,533.194737293,523.226655276,500.401210365,460.077315208,451.135442497,447.382215421,464.475742951,466.741056218,470.0936272,510.3988587,557.934868196
Dillingham Census Area,non hub,417.660811866,372.195953832,382.290314204,346.573617242,343.102274204,321.977962147,327.757485418,349.23167079,352.771520205,364.946364567,394.447167894,402.844862665
Haines Borough,haines,503.586732116,464.486836395,419.086742452,422.02562626,364.843372638,351.387745098,347.53875969,365.656605363,372.483117791,383.227107507,424.459179357,465.260202277
Hoonah-Angoon Census Area,hoonah,527.912876975,479.715895469,437.296305182,450.363984674,401.351781473,405.908468979,390.385505194,410.385159011,415.229780271,424.739048958,449.079887218,486.009917355
Hoonah-Angoon Census Area,non hub,277.080558981,257.757954545,237.15561277,239.508556701,232.813955854,253.427644913,264.282544828,268.637114648,250.881906284,238.540191629,250.781436219,260.080513183
Kodiak Island Borough,non hub,365.415200563,321.007694998,315.151187151,310.345188285,296.428915663,290.928743546,307.045327755,308.929436181,309.685478321,317.390502221,344.262306368,375.6271777
Nome Census Area,nome,599.853032541,570.594921218,499.978059458,500.390841102,432.140996286,416.587259725,392.382187262,410.115630388,418.061902111,443.388710002,501.295488873,526.279752004
Nome Census Area,non hub,487.166165605,430.950368675,420.838928897,386.910017236,361.924868101,326.952445996,336.610476967,350.348394588,362.810149524,395.69321608,423.3507575,464.446866075
North Slope Borough,non hub,814.128057766,732.408651702,677.820535582,658.693871494,573.242149129,551.260636715,515.910546416,549.500369658,592.636700237,644.655361374,715.063576159,782.472775564
Northwest Arctic Borough,kotzebue,765.111630278,722.148670461,615.631722029,627.924135587,578.497408886,524.26854133,505.316331701,539.6036987,556.177166019,589.277824692,671.651241344,669.153014693
Northwest Arctic Borough,non hub,572.834303061,500.516865246,484.113043478,441.903799582,407.954886591,355.64101501,362.297601323,375.730022831,403.603160234,448.652937812,506.752368507,542.833442088
Petersburg Census Area,non hub,490.753954897,424.849983068,391.942501681,380.223614776,369.258415505,376.165482234,358.04100305,368.50253464,385.081514325,388.985987697,405.861763704,430.870547945
Prince of Wales-Hyder Census Area,craig,584.718643587,550.947182101,478.839143991,509.745392199,450.101610375,442.039354473,436.867284391,454.022219057,450.644296254,449.438083121,505.660014154,568.935895618
Prince of Wales-Hyder Census Area,non hub,511.306363975,477.809378262,423.544981799,435.539159962,391.482594357,391.674388396,379.801530808,402.477395746,404.302675585,395.036574215,439.784831375,497.684859155
Skagway Municipality,skagway,529.247006931,489.073817035,462.86414917,457.484959536,423.099652375,425.482486362,421.966652354,428.005721642,435.265080957,414.91230813,435.465978129,486.633451957
Southeast Fairbanks Census Area,non hub,364.077133479,320.586604447,277.533534909,258.36814835,230.969615488,234.201664876,232.947145877,246.58677686,252.859616409,255.146987301,300.112784013,332.5440044
Southeast Fairbanks Census Area,tok,603.486055777,530.114900623,487.613489736,437.502808331,401.740831012,396.025608636,376.26238933,393.029041848,411.470534699,421.978305549,525.553645593,570.406387921
Valdez-Cordova Census Area,cordova,570.21724029,547.299400568,496.621477213,504.917478748,467.503786369,466.190370445,452.391330829,468.486207601,510.772507553,490.943599296,556.001153644,580.845083781
Valdez-Cordova Census Area,non hub,378.855336556,326.852209432,298.495185185,285.882113821,267.3834916,260.503962536,267.598859993,268.426765016,270.605189341,278.949087079,307.041975309,350.559561683
Wade Hampton Census Area,hooper bay,408.964952506,368.098789663,353.384539797,325.843047867,298.217419565,275.637846656,263.538988581,276.262645914,294.169305331,327.811935484,350.749679487,369.921711569
Wade Hampton Census Area,non hub,497.800516129,435.633804269,435.685752467,388.430814222,358.542122482,327.312829706,338.408982827,351.994011352,360.988127389,389.173516672,430.22486252,471.750138812
Yakutat City and Borough,yakutat,482.762783661,476.95066586,452.607207753,453.582923833,448.518252543,434.788085359,459.324469674,448.680369377,478.854154214,481.695183966,481.078513635,491.095552885
Yukon-Koyukuk Census Area,galena,450.979583333,439.41125362,393.249153976,355.929920269,335.830814442,315.830323394,320.105175292,317.62596401,340.208492569,362.327972916,390.754603854,430.561965812
Yukon-Koyukuk Census Area,mcgrath,433.275319567,345.25698872,363.382468168,319.938845401,337.604197169,303.12890625,326.558505408,324.495381624,337.142433234,358.224206349,375.69812253,414.734183423
Yukon-Koyukuk Census Area,non hub,338.509000744,291.889556239,276.804469551,259.698748275,241.22759162,241.877880977,237.014486434,240.39129591,250.339561607,260.703968331,289.122744033,324.815682083
